Address,flat_type,floor_area_list,resale_price_list
7 Telok Blangah Cres S(090007),1-Room,31.0 sqm,"$283,799"
14 Taman Ho Swee S(161014),2-Room,43.0 sqm,"$290,000"
120 Lor 2 Toa Payoh S(310120),2-Room,40.0 sqm,"$290,000"
365A Sembawang Cres S(751365),2-Room,38.0 sqm,"$330,000"
69 Circuit Rd S(370069),3-Room,56.0 sqm,"$335,000"
150A Corporation Dr S(611150),2-Room,38.0 sqm,"$339,000"
91 C'wealth Dr S(140091),3-Room,58.0 sqm,"$345,000"
6 Marsiling Dr S(730006),3-Room,65.0 sqm,"$345,588"
76 Telok Blangah Dr S(100076),2-Room,44.0 sqm,"$348,000"
93 C'wealth Dr S(140093),3-Room,60.0 sqm,"$348,000"
232C Sumang Lane S(823232),2-Room,38.0 sqm,"$350,000"
48 Lower Delta Rd S(160048),2-Room,43.0 sqm,"$350,000"
195 Kim Keat Ave S(310195),3-Room,66.0 sqm,"$350,000"
99 C'wealth Cres S(140099),3-Room,55.0 sqm,"$350,000"
27 Jln Bahagia S(320027),3-Room,56.0 sqm,"$358,888"
208 Boon Lay Pl S(640208),3-Room,65.0 sqm,"$360,000"
168 Stirling Rd S(141168),3-Room,60.0 sqm,"$360,000"
169 Stirling Rd S(140169),3-Room,60.0 sqm,"$366,000"
119 Ho Ching Rd S(610119),3-Room,67.0 sqm,"$368,000"
20 Lor 7 Toa Payoh S(310020),3-Room,67.0 sqm,"$368,000"
99 C'wealth Cres S(140099),3-Room,55.0 sqm,"$368,000"
235 Lor 8 Toa Payoh S(310235),3-Room,65.0 sqm,"$370,000"
30 Balam Rd S(370030),3-Room,57.0 sqm,"$370,000"
132 Jln Bt Merah S(160132),3-Room,59.0 sqm,"$373,000"
573C Woodlands Dr 16 S(733573),2-Room,47.0 sqm,"$374,000"
124 Lor 1 Toa Payoh S(310124),3-Room,67.0 sqm,"$375,000"
4 Ghim Moh Rd S(270004),3-Room,65.0 sqm,"$378,000"
460D Bt Batok West Ave 9 S(654460),2-Room,48.0 sqm,"$380,000"
991A Buangkok Link S(531991),2-Room,47.0 sqm,"$380,000"
672C Edgefield Plains S(823672),2-Room,44.0 sqm,"$380,000"
10 Teck Whye Ave S(680010),3-Room,67.0 sqm,"$380,000"
64 Kallang Bahru S(330064),3-Room,65.0 sqm,"$380,000"
173 Lor 1 Toa Payoh S(310173),3-Room,66.0 sqm,"$380,000"
102 C'wealth Cres S(140102),3-Room,55.0 sqm,"$380,000"
66 Lor 4 Toa Payoh S(310066),3-Room,64.0 sqm,"$380,000"
460C Bt Batok West Ave 9 S(653460),2-Room,48.0 sqm,"$385,000"
528 Jurong West St 52 S(640528),3-Room,67.0 sqm,"$385,000"
5 Ghim Moh Rd S(270005),3-Room,65.0 sqm,"$388,000"
13 Telok Blangah Cres S(090013),3-Room,65.0 sqm,"$389,000"
499B Tampines Ave 9 S(522499),2-Room,46.0 sqm,"$390,000"
248 Jurong East St 24 S(600248),3-Room,67.0 sqm,"$390,000"
410 Pandan Gdns S(600410),3-Room,72.0 sqm,"$390,000"
17 Eunos Cres S(400017),3-Room,59.0 sqm,"$390,000"
207 Toa Payoh Nth S(310207),3-Room,65.0 sqm,"$390,000"
45 Bendemeer Rd S(330045),3-Room,66.0 sqm,"$390,000"
329 Jurong East Ave 1 S(600329),3-Room,74.0 sqm,"$395,000"
524 Jurong West St 52 S(640524),3-Room,67.0 sqm,"$395,000"
127 Ang Mo Kio Ave 3 S(560127),3-Room,67.0 sqm,"$395,000"
504 Bedok Nth St 3 S(460504),3-Room,59.0 sqm,"$395,000"
1 Teck Whye Ave S(680001),3-Room,74.0 sqm,"$398,000"
225 Lor 8 Toa Payoh S(310225),3-Room,65.0 sqm,"$398,000"
30 Jln Klinik S(160030),3-Room,58.0 sqm,"$398,000"
2 St. George's Rd S(322002),3-Room,59.0 sqm,"$399,000"
53 Lor 5 Toa Payoh S(310053),3-Room,68.0 sqm,"$399,990"
